id;nombre;apellidos;rut;fecha_nacimiento;registro_medico;especialidad
1;transmitter;en Cambridgeshire auxiliary;Quetzal Tácticas;2021-10-07;monitor matrix Versatil;MEDICINA_GENERAL
2;Leona Consultor connect;Mesa Multi cross-platform;Carretera;2021-10-08;Gris connecting Cataluña;LABORATORIO
3;Explanada Mancha;Pakistan Humano Camino;Explanada Sorprendente Refinado;2021-10-08;invoice Intranet;LABORATORIO
4;Barein;proyección;Checking tangible;2021-10-08;Genérico;MEDICINA_GENERAL
5;utilización deposit;Pound;withdrawal;2021-10-08;Hormigon wireless;LABORATORIO
6;Norwegian;Madera Trinidad Madagascar;previsión Marca;2021-10-08;objetos;MEDICINA_GENERAL
7;Avenida Supervisor;Guapa optimize Algodón;generación Reducido;2021-10-08;Investment Heredado indexing;LABORATORIO
8;Artesanal users Papelería;Marroquinería;invoice JSON;2021-10-07;Ergonómico;LABORATORIO
9;infomediaries Aragón innovate;mano bypassing;nacional Sincronizado;2021-10-08;Negro;LABORATORIO
10;transmitter deposit;Ladrillo;Factores driver;2021-10-08;Tunez Cambridgeshire;MEDICINA_GENERAL
